clean_text,main_label,sub_label
"· Preparing general correspondence like Quotation, Delivery Receipt, Invoices, etc.",content,experience
· Coordinating with production department.,content,experience
· Dispatching of samples and finished order to clients.,content,experience
· Handling all accounts related activity –working in Tally ERP 9,content,experience
COMPETENCIES,header,others
· Quick learner & adapts well to changes and pressure in work place,content,others
· Managing relationships & working efficiently with diverse groups of people,meta,others
· Committed to meeting deadlines and schedules,meta,others
· Leadership skills to lead projects & handle work independently,meta,others
LANGUAGES KNOWN,header,knowledge
"English, Hindi, Marathi (Speak, Read, Write)",content,knowledge
HOBBIES,header,others
"Reading Books, Teaching & Listening Music",meta,others
DATE OF BIRTH,header,others
3rd April 1993,meta,others
REFERENCE,header,others
Available on request,meta,others
DECLARATION,header,others
I hereby declare that the information furnished above is true to the best of my knowledge & I am also confident of my ability to work in a team Mumbai.,meta,others
(Laxmi Nighot),meta,others
PAGE,meta,others
RESUME,header,others
CURRICULUM VITAE,meta,others
KAKOLI ROY,meta,others
e-mail : kakoliroy7@gmail.com,meta,others
Mobile No: 9007305067/8961764835,meta,others
Objective:,header,others
"Looking for a challenging position in an organization, which will allow me to apply the best of my analytical and technical skills for company’s growth as well as my own growth.",content,others
Summary:,header,experience
degree/specialization,header,education
Board/,content,education
University,content,education
Year of passing,content,education
Madhyamik,content,education
West Bengal Board,content,education
2001,content,education
Higher Secondary,content,education
West Bengal Board,content,education
2003,content,education
B.A,content,education
CALCUTTA University,content,education
2006,content,education
I.T O’ LEVEL,content,education
JADAVPUR University,content,education
2007,content,education
Academic details:,header,education
work experience:,header,experience
Company,content,experience
1. ICICI One Source,content,experience
2. HDFC Bank ltd.(ADFC SISTER CONCERN),content,experience
3. STANDARD CHARTERED BANK,content,experience
4. SHAHA FINLEASE PVT LTD,content,experience
Designation,content,experience
1. AS A CUSTOMER CARE EXECUTIVE,content,experience
2. AS A COLLECTION OFFICER in inflows of HDFC CREDIT CARD,content,experience
3. AS A CREDIT CONTROLE OFFICER (SUPERVISOR),content,experience
4. AS A SUPERVISOR OF COLLECTION CALLING TEAM,content,experience
Duration,content,experience
1. 2-07-2007 TO 29-05-2008,content,experience
2. 20-06-2008 TO 30—05-2009,content,experience
3. 20-06-2009 TO 30-09-2010,content,experience
4. 07-01-2011 till date,content,experience
Roles and responsibilities,header,experience
1. It was an inbound process. As a Customer Care Executive my,content,experience
responsibilities were to cater Vodafone Rest of Bengal Circle. Where I had to resolve the queries of the customers.,content,experience
"2.In HDFC my job was to follow up with those customers who forgot to pay their monthly and current due amount. Make them understand about the rules and collect the payment as soon as possible, and meet the daily target given by my manager.",content,experience
3. In S.C.B my job was to recover money from those customers who were really in financial crunch and as per the banks rule helped them to close their blocked accounts by settlement.,content,experience
Due to consolidation I got the chance to go to Bangalore and,content,experience
to work with the same concern but in bucket 60 DPD as a,content,experience
Supervisor.,content,experience
4. In SHAHA FINLEASE my job is to supervise the team regarding collection .Maintaining the daily M.I.S.,content,experience
Handling client calls assist them about their inquiries.,content,experience
Achieving the team target.,content,experience
Personal Details:,header,others
Name:,header,others
KAKOLI ROY,meta,others
Father’s name:,header,others
Mr. NIKHIL BARAN ROY,meta,others
Mobile No:,header,others
+91-9007305067,meta,others
+91-8961764835,meta,others
Residence No:,header,others
(033)2483-9825,meta,others
Permanent Address:,header,others
"29,SANTIPATH SONTOSHPUR JADAVPUR KOLKATA-700075",meta,others
E-mail : kakoliroy7@gmail.com,meta,others
"Present Address: 29,SANTIPATH SONTOSHPUR JADAVPUR KOLKATA-700075",meta,others
Marital Status:,header,others
Single,meta,others
Date of Birth: 07-1-1985,meta,others
DECLARATION,header,others
"I, KAKOLI ROY, hereby declare that all the above information are true and correct to the best of my knowledge",meta,others
and belief.,meta,others
PLACE: KOLKATA,meta,others
Signature,meta,others
(KAKOLI ROY),meta,others
PEDDI SRIKIRAN REDDY,meta,others
Email: srikiran507@gmail.com Tel: 7661976639,meta,others
Career Objective,meta,others
To be associated with a reputed and progressive organization where I can apply and enhance my skills in a challenging and growth oriented environment.,meta,others
Experience,header,experience
"Worked as Graduate Engineer Apprentice in ECIL on mobile applications from jan 2017 to jan 2018 ,working as Sr.Consultant in java and Testing from past 6 months",content,experience
Academic Credentials,header,education
Course,content,education
Board\University,content,education
Year,content,education
Percentage,content,education
B.TECH (CSE),content,education
JNTU-Hyderabad,content,education
2016,content,education
59.72%,content,education
DIPLOMA(ECE),content,education
State Board of Technical Education and Training,content,education
2013,content,education
79%,content,education
S.S.C,content,education
Telangana Board of Secondary Education,content,education
2010,content,education
83%,content,education
Certificates,header,education
Industrial Training in espark technologies,content,education
Multisim lab,content,education
Soldering,content,education
Participated in Cyber Forensics workshop,content,education
Participated in Marathon,content,education
Technical Skills,header,knowledge
"Programming Languages : C, Java,Html",content,knowledge
"Technology : Android using eclipse, Internet of Things",content,knowledge
Project Work,header,project
· Major Project :,content,experience
Privacy Preserving Public Auditing System,content,experience
Description : For Data storage Security in Cloud Computing,content,experience
· Mini Project :,content,experience
Water Level Automatic controller,content,experience
Description : When Water in tank fills it automatically switch off Motor,content,experience
Personal Skills,header,knowledge
· Good communication skills and verbal skills,content,knowledge
· Problem solving abilities,content,knowledge
· Interested to learn new technologies,content,knowledge
· Ability to work both in team and individually,content,knowledge
· Organizational skills,content,knowledge
· Adaptability to changing environment and flexible,content,knowledge
Personal Profile,header,others
Name : P.SRIKIRAN REDDY,meta,others
Fathers name : P.BAL REDDY,meta,others
Date of birth : 15-07-1995,meta,others
Nationality : Indian,meta,others
"Address : H-NO-1-10-28/232/1A ,Nagarjuna Nagar Colony,Road no-1,Shiva Sai Nagar Colony,lane-6,Kushaiguda,Medchal District",meta,others
Hyderabad 500062 .,meta,others
"Languages Known : English, Telugu, and Hindi",meta,knowledge
"Hobbies : Internet browsing, Watching movies, Listening to music",meta,others
Declaration,header,others
I hereby declare that all the information furnished above is true to the best of my knowledge.,meta,others
Date: P.SRIKIRAN REDDY,meta,others
RESUME,header,others
Pushpa Perumal Mob No: 9514181372,meta,others
Email Id: Pushpa7924.pp@gmail.com,meta,others
OBJECTIVE:,header,others
"Seeking job opportunity to pursue my dream of working in a challenging environment to apply my skills, creativity and innovativeness which will help me to achieve my goal.",content,others
EDUCATIONAL QUALIFICATION:,header,education
Qualification,header,education
Year Of Passing,content,education
Institution,content,education
University / board,content,education
Marks (aggregate),content,education
SSLC,content,education
2007,content,education
Kendriya Vidyalaya,content,education
Anna Nagar,content,education
CBSE,content,education
83.8,content,education
12th,content,education
2009,content,education
Meenakshi Matriculation Hr. Sec. School,content,education
State Board,content,education
78.75,content,education
UG – B.Sc (C.,content,education
2012,content,education
Queen Mary’s College (Autonomous),content,education
Madras University,content,education
83.5,content,education
KEY COMPETENCIES:,header,knowledge
· Good negotiating skills,content,knowledge
· Good interpersonal skills,content,knowledge
· Good communication skills,content,knowledge
· Good exposure to Computer Applications,content,knowledge
· Ability to learn new ideas,content,knowledge
TECHNICAL SKILLS,header,knowledge
· Development Language,header,knowledge
": Core Java, JavaScript",content,knowledge
· Database,content,knowledge
": MS SQL server 2008, IBM Informix",content,knowledge
· Markup Languages,content,knowledge
: HTML,content,knowledge
· Additional Tools,content,knowledge
: MS SharePoint,content,knowledge
· Domain Knowledge,content,knowledge
: Retail,content,knowledge
· OS,content,knowledge
: Unix – Shell script and 4GL,content,knowledge
· Other Skills,content,knowledge
: Adobe Photo Shop,content,knowledge
WORK EXPERIENCE:,header,experience
Name of the Company,content,experience
Infosys Technologies,content,experience
Nature of Business,content,experience
IT,content,experience
Project,header,project
Walmart Retail,content,experience
Designation,content,experience
System Engineer – Support Project,content,experience
Duration,content,experience
From Aug-2012 to Apr-2017,content,experience
Job Responsibilities,header,experience
· Involved in analysing the client requirements.,content,experience
"· Involved in developing the enhancements application with Java, J2EE.",content,experience
· Involved in developing the business logic.,content,experience
· Involved in developing User Interface.,content,experience
· Involved in Monitoring all claims stored and processed correctly.,content,experience
· Maintaining user access level to reports via application.,content,experience
· Standard Reports,content,experience
· Incident acknowledgement and escalating to concerned team source.,content,experience
"· Escalation if any issues, logging and tracking them to closure",content,experience
· Incident Management.,content,experience
· Supporting Major application of Walmart.,content,experience
· 24/7 Support provided for the applications handled.,content,experience
Additional Tools Learnt,content,experience
· Remedy,content,experience
· Autonomy Process Automation (HP),content,experience
· Message Queue,content,experience
Name of the Company,content,experience
Vetri Software India Pvt. Ltd. (HOV SERVICES),content,experience
Nature of Business,content,experience
Coding and Auditing of the Healthcare forms. Usually HCFA and UB.,content,experience
Designation,content,experience
Processor – Quality Audit,content,experience
Duration,content,experience
From 31 March 2009 To 22-Jan-2011.,content,experience
Job Profile & Responsibilities,header,experience
· Processes customer health source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution.,content,experience
· Maintains data entry requirements by following data program techniques and procedures.,content,experience
"· Verifies entered data by reviewing, correcting, deleting, or reentering data, combining data from both systems when account information is incomplete. Purging files to eliminate duplication.",content,experience
STRENGTHS:,header,knowledge
· Excellent Problem-Solving Skills.,content,knowledge
· Hard Worker.,content,knowledge
· Flexible.,content,knowledge
· Good Team Player.,content,knowledge
· Good Leadership Skills.,content,knowledge
· Good Communication and Interpersonal Skills.,content,knowledge
PERSONAL DETAILS:,header,others
Father’s Name : V. Perumal,meta,others
Date of Birth : 07 Dec 1990.,meta,others
Marital Status : Single.,meta,others
Nationality : Indian.,meta,others
"Residential Address : No:65, 2nd Street,",meta,others
"Collector Nagar,",meta,others
"Anna nagar west Extn,",meta,others
Chennai – 600 101.,meta,others
Language,meta,others
Read,meta,others
Write,meta,others
Speak,meta,others
English,meta,others
·,meta,others
·,meta,others
·,meta,others
Tamil,meta,others
·,meta,others
·,meta,others
·,meta,others
Hindi,meta,others
·,meta,others
·,meta,others
·,meta,others
I hereby declare that the details furnished above by me are true to the best of my knowledge and belief.,meta,others
P.Pushpa,meta,others
ANUSHA VINODH,meta,others
"No: 128, S&P Residency, III cross street",meta,others
"Vanagaram, Chennai_94",meta,others
Email-anushavinodh1501@gmail.com,meta,others
Phone No: 09940 915548,meta,others
PRECIS,meta,others
· A creative professional with 7.5 years of experience in Banking & Finance,meta,others
"· Exhibited abilities in interacting with clients’, adjudging their requirements and working accordingly",content,others
· A keen planner and strategist with proven time management abilities,content,others
ACADEMIC CREDENTIALS,header,education
Master Of Business Administration (2011),content,education
Allagappa University,content,education
Area of Emphasis: Corporate Finance,content,education
Bachelor Of Commerce (2007),content,education
"Lady Doak College,",content,education
"Area of Emphasis: Cost and Management Accounting, Taxation",content,education
Diploma In Computer Programming,content,education
"(Tally, Web designing and Multimedia)",content,education
Aptech Training on MS Office (2012),content,education
"HIGHER SECONDARY SCHOOL,Madurai (2004)",content,education
OCPM Girls higher secondary School,content,education
"S.S.L.C, Madurai (2002)",content,education
OCPM Girls higher secondary School,content,education
EMPLOYMENT HISTORY,header,experience
1. Nov ’15 – Till Date– Standard Chartered Global business services as Senior Officer,content,experience
Job Knowledge,content,experience
· Handling multi-process credit cards and investigating customer queries.,content,experience
· Have handled customer through E-alerts and M-alerts.,content,experience
· Handling queries related to other regions for quick-kill resolving.,content,experience
"· Reconciling all cards types for different sites (European, East Asian, African and Middle East Countries).",content,experience
· Have experience in Automations such as Automation different (Nearly 50+) types of accounts from manual to Automated platform like Transaction Life Cycle(TLM) platform.,content,experience
"· Have experience in migrating of accounts , nearly 50+ accounts has been migrated successfully in past 6 months short span of time that too in automated (TLM) platform.",content,experience
"· Have experience in TLM p3 vs RPSNS platform and have skill to open account in TLM platforms, write BI logic to open an account and set lead pass to automate the transactions for matching",content,experience
· Having end to end investigation of open entries and resolve the entries before TAT.,content,experience
· Migrated accounts directly to TLM platform without manual intervention of accounts.,content,experience
· Have analytical skill of account knowledge and nature and migrated into the TLM platform directly.,content,experience
· Have experience in Credit card settlement accounts for various countries and Chargeback reconciliations.,content,experience
· Experience in reconciliation for Credit and Debit card Transactions as well as ATM settlement transactions.,content,experience
· Investigations on transactions that are outstanding and follow up with relevant departments.,content,experience
· Escalating the outstanding items to relevant team for quick resolving.,content,experience
Key Deliverables,header,experience
· Expert in process Migrations and client co-ordination,content,experience
· Expertise in MIS Reporting and people soft applications,content,experience
· Migration of new processes,content,experience
· Mentoring and Training new associates.,content,experience
· Deliver the reports before TAT,content,experience
· Meet client requirements according to their expectation and deliver before agreed SLA,content,experience
Achievements,header,others
· Have received appreciations from Country Head as Spot award to migrate the new account in short span of time.,content,others
· Have received appreciations from Country Head for being resolving the outstanding items in quick span of time.0,content,others
· Received appreciation from Unit head to automate the fourteen critical manual ATM accounts to automation and decrease the cycle time.,content,others
· Have received from appreciation from management for decrease the cost and cycle timing to convert the manual process to automation,content,others
"· Migrated various accounts like QR, Prepaid accounts of different currencies in short span of time and received appreciation",content,others
· Have received appreciation from SPOC with met the SLA on time inspire of abnormal number of entries which is unusual flow.,content,others
2. Jun ’08-Dec ‘11 – Standard Chartered Scope International Pvt Ltd as Senior Officer,content,experience
Job Knowledge,header,knowledge
· Process knowledge of Settlements and chargeback’s,content,knowledge
· Handling multi-process credit cards and investigating customer queries.,content,knowledge
· Have handled customer through E-alerts and M-alerts.,content,knowledge
· Report MIS on time,content,knowledge
· Have experience in settlements for Credit cards for Visa and Master card settlements.,content,knowledge
· Experience in settlements’ for Credit card Transactions as well as ATM settled transactions.,content,knowledge
· Preparing Necessary entries for settlement transaction and provide vouchers for the same.,content,knowledge
"· Have experience in chargeback reconciliation for India debit and credit card, and Gulf countries.",content,knowledge
· Handled gulf chargeback reconciliation around 10+ countries as single handed without any exceptions.,content,knowledge
· Handling settlement recons for Visa and master card entries.,content,knowledge
· Having experience in African countries settlement reconciliation.,content,knowledge
Key Deliverables,header,experience
· Expert in process Migrations and client co-ordination,content,experience
· Expertise in MIS Reporting and people soft applications,content,experience
· Migration of new processes,content,experience
· Mentoring and Training new associates.,content,experience
Achievements,header,others
· Have received appreciations from Country Head as Spot award to handle multi process with in short span of time,content,others
· Have received appreciations from Country Head for being Responsive in the doing the task given within the target date.,content,others
· Awarded ‘Value Champ – Responsive & Trustworthy’ for the year 2010.,content,others
· Business Operation Transferrable (BOT) certified for migrating Kenya credit card Accounts in the year 2011,content,others
STRENGTH,header,knowledge
· Exceptionally organized with great ability to work on multiple projects at once.,content,knowledge
· Deep level of analytical ability and accuracy.,content,knowledge
· Remarkable ability to work independently and complete tasks with minimal supervision.,content,knowledge
· Have capability in quick learning skills and,content,knowledge
· Excellent interpersonal and organization skills.,content,knowledge
· Exceptional flexibility and ability to work independently and in a team.,content,knowledge
I hear by declared all the above information are true up to my knowledge,header,others
Yours faithfully,content,others
Anusha Vinodh,content,others
Souvik Banerjee,meta,others
"Flat No -102, Building 18,",meta,others
"Vijay Park, Kasarvadavali",meta,others
"G.B Road Thane(West),",meta,others
Pin: 4000615,meta,others
Tel: +91 8074695133 /7064267645 Email: souvikbanerjee.skb@gmail.com,meta,others
SUMMARY,header,experience
An action orientated and energetic analyst who is an expert at identifying areas within a business which needs,content,experience
"improvement or modification. Souvik can collect, clarify and translate business requirements into documentation and then",content,experience
use that information to contribute to the profitability and efficiency of a business along with strong analytical skills with,content,experience
deep expertise in the application of analytics.,content,experience
TOOLS & TECHNOLOGY,header,knowledge
● Analytical Tools: Base SAS | R | Python,content,knowledge
● IDE’s: R-Studio | Jupyter Notebook |Spyder,content,knowledge
● Visualization Tools: Tableau | MS Excel,content,knowledge
● Database: SQL,content,knowledge
● Operating Systems Windows 7/10,content,knowledge
● Programing: Java,content,knowledge
MACHINE LEARNING TECHNIQUE,header,knowledge
● Regression: Linear | Logistic,content,knowledge
● Classification: Logistic | SVM | Decision Tree(CART),content,knowledge
● Ensembling: Bagging | Boosting | Random Forest | Cross Validation,content,knowledge
● Unsupervised: Clustering (Apriori | K Means),content,knowledge
EDUCATION,header,education
"2017 – 2018 Imarticus Learning Mumbai, India",content,education
Certification in Data Science Powered by Genpact (Successfully Completed),content,education
● R,content,education
● Python,content,knowledge
● Tableau,content,knowledge
● Base SAS,content,education
"2011 - 2015 Kalinga Institute of Industrial Technology Bhubaneshwar, India",content,education
● Bachelors of Engineering in Electronics & Tele-Communication,content,education
"2009 - 2011 St. Xavier’s Collegiate School, Kolkata Kolkata , India",content,education
● ISC (10+2),content,education
ACADEMIC PROJECTS,header,project
Language: Python,content,experience
Content:,content,experience
 Credit Risk Analysis,content,experience
 Creating Time Series Forecast using Python,content,experience
 Big Mart Sales Prediction Using Python,content,experience
TOTAL WORK EXPERIENCE: 2.5 Years,content,experience
2015-Present Accenture Services Pvt Ltd.,content,experience
Role: Application Development Analyst,content,experience
Responsibilities,header,experience
» To ensure proper functioning of applications in live production and to gather requirements and,content,experience
provide a business solution.,content,experience
» Supporting requests by the business to help access manage and price catastrophe risk through the,content,experience
use and interpretation of modeling results.,content,experience
» Involved and successfully automated the Daily Checks for the Client Based Application.,content,experience
» Responsible in taking downtime requirements from the Business and upgrading the versions of the,content,experience
"application In DEV, QA , UAT and Prod Environments and providing walkthrough to the users once",content,experience
completed on each of the environments.,content,experience
» Onboarding new application as a part of the client requirement which involves excessive interaction,content,experience
with Vendor team to understand the functional knowledge of the application and then preparing,content,experience
detailed documentation.,content,experience
Achievements,header,others
» Received appreciations for processing the work within the stipulated timelines set by the client and,content,others
completing ad-hoc requests on time with proper efficiency.,content,others
» Young Achiever Award received for quick learning and exhibiting proficiency in Insurance Domain.,content,others
Personal Interest,header,others
» Travelling,content,others
» Loves to Play Cricket,content,others
RESUME,header,others
RESUME,header,others
IBM Certified Lotus Notes / Domino 8.5 with 4.0 of Year Experience.,meta,others
· Personnel Information:,header,others
NAME:,meta,others
Hari Ashok Patil.,meta,others
TELPHONE:,meta,others
+91-9967631135,meta,others
EMAIL ADDRESS:,meta,others
hari.patil31@gmail.com,meta,others
PERMANENT ADDRESS:,meta,others
"C/O – A.V. Sebastian, 51/1, Gharkul Housing Society,",meta,others
"Near Ganpati Temple, Wadegaon Sheri, Pune-411014.",meta,others
DOB:,meta,others
6th July 1985,meta,others
· International Certifications:,meta,experience
Certification,header,education
Exam,content,education
Remark,content,education
IBM Lotus Notes Domino 8.5 Developing Web Applications,content,education
954,content,education
Pass,content,education
IBM Lotus Notes Domino 8 Application Development Foundation Skills,content,education
834,content,education
Pass,content,education
IBM Certified Associate Developer - Lotus Notes and,content,education
Domino 7.0,content,education
710,content,education
Pass,content,education
· Education Background:,content,education
"· Completed Bachelor of Science (BSc.) in April 2006 with 60.61 (First Class) from Shivaji University, Kolhapur",content,education
· Major Roles and Responsibilities:,header,experience
Job Profile: Managing the project with following responsibilities:,header,experience
"· Lotus Notes/Domino Development, Troubleshooting & Support",content,experience
"· Prior experience in supporting Lotus Notes R6,7 Projects",content,experience
"· Requirement Analysis, Estimation, Project Plan, Milestone Plan.",content,experience
· Technical Design Documentation,content,experience
· Coding,content,experience
· Testing,content,experience
"· Rollout documentation, end user documentation",content,experience
"· Pre-Production Support, UAT",content,experience
· Post Production Support,content,experience
· Conducting meetings.,content,experience
· Remedy Support and TSRM Support.,content,experience
"· Completed trainings in ATLAS, SIX SIGMA, PHEONIX, and SCM etc.",content,experience
· Supporting clients in their time zones in different shifts based on project requirements,content,experience
· Open for travel or relocation based on project requirements,content,experience
· Skill Sets:,header,knowledge
Groupware:,content,knowledge
"Lotus Notes 6.x, 7.x, 8.x, XPages",content,knowledge
Operating Systems:,content,knowledge
"Windows 9X/2000/XP, Windows Vista",content,knowledge
Languages:,header,knowledge
"Lotus Notes, Lotus Formula Language, Lotus Script For",content,knowledge
"Lotus Notes, HTML, CSS.",content,knowledge
Scripting Language:,content,knowledge
Java Script For Lotus Notes,content,knowledge
Web Server:,content,knowledge
